Power,Power Execution Time (0x0),Power Execution Time (20x20),Power Execution Time (40x40),Power Execution Time (60x60),Power Execution Time (80x80),Power Execution Time (100x100)
10000,11167,408780,3281943,11145186,25584147,61897096
9750,10948,404262,3185000,11196678,25093160,58311198
9500,7338,391086,3163623,12777585,24255809,47110823
9250,7943,425553,3017153,12408000,23582529,45658166
9000,9520,355008,2936568,12151260,23042683,44510577
8750,7651,359458,2855314,11450474,22302085,43501172
8500,7776,341363,2760048,11601817,21640812,43422267
8250,6812,325543,2696477,11238436,21063047,41012722
8000,6773,322641,2620664,10594468,20366768,39878243
7750,6435,327667,2529581,10515638,19778233,39911723
7500,5863,311400,2455223,10114368,19084791,38170768
7250,6338,289921,2392025,9461254,18459600,37652511
7000,5527,278062,2294524,9234222,18043428,34698148
6750,5929,270942,2204889,9036379,17295473,33874453
6500,5380,270925,2127840,8575015,16539866,32626276
6250,5446,254449,2068018,8687866,15899022,31010338
6000,4884,248124,1971951,7989539,15289659,29718322
5750,6480,236674,1846218,7718187,14591259,28522504
5500,4307,223404,1819635,7513616,13986949,27371169
5250,4976,220906,1713347,7063484,13588856,26061438
5000,4052,204566,1693000,6733747,12616583,24879647
4750,4609,193348,1550999,6790417,12056987,23658254
4500,3654,176203,1483955,7389402,11440996,22762696
4250,3826,176992,1386032,6089636,11369754,21033897
4000,3644,165180,1295138,5365897,10527756,19818129
3750,3061,156618,1228901,4945754,9559417,18822236
3500,3675,134502,1164013,4761245,8847555,18113213
3250,3193,140130,1074147,4087226,8263015,16533657
3000,2641,123779,983292,3233615,7626596,14884894
2750,2506,106101,899885,3225676,7000391,13662239
2500,2059,115725,822560,3217167,6344056,12375351
2250,2117,95107,731214,2990493,5718203,11140180
2000,2267,85869,660963,3160128,5093309,9927099
1750,1350,69433,568389,2755852,4397213,8733751
1500,1159,56904,485565,2331847,3810618,7421466
1250,1008,47579,409249,1991970,3154179,6234761
1000,1036,50910,329088,1629975,2549393,4941952
750,638,29181,290445,1090036,1938623,3685222
500,407,20633,184644,709243,1275877,2481365
250,209,10107,81007,336737,626606,1246647
