Matrix Size (MxM),Power,Power Execution Time
0,10000,9541
0,9750,9877
0,9500,9301
0,9250,12364
0,9000,7933
0,8750,6829
0,8500,7421
0,8250,7105
0,8000,7035
0,7750,7183
0,7500,8501
0,7250,8780
0,7000,9804
0,6750,6728
0,6500,5864
0,6250,5094
0,6000,4903
0,5750,5713
0,5500,5289
0,5250,4336
0,5000,7598
0,4750,8613
0,4500,6879
0,4250,4732
0,4000,3534
0,3750,3242
0,3500,2886
0,3250,2701
0,3000,2606
0,2750,2362
0,2500,2326
0,2250,1844
0,2000,2057
0,1750,1488
0,1500,1250
0,1250,1037
0,1000,836
0,750,688
0,500,477
0,250,218
10,10000,60617
10,9750,58707
10,9500,68802
10,9250,55364
10,9000,52248
10,8750,50723
10,8500,62896
10,8250,48529
10,8000,47304
10,7750,44981
10,7500,52621
10,7250,47958
10,7000,40285
10,6750,40650
10,6500,38357
10,6250,47246
10,6000,40531
10,5750,34563
10,5500,33336
10,5250,31375
10,5000,29220
10,4750,31871
10,4500,52090
10,4250,27228
10,4000,37846
10,3750,23092
10,3500,20971
10,3250,19593
10,3000,19245
10,2750,28739
10,2500,15528
10,2250,13417
10,2000,12169
10,1750,10682
10,1500,9264
10,1250,7427
10,1000,5735
10,750,4510
10,500,3554
10,250,1550
20,10000,400476
20,9750,406225
20,9500,385234
20,9250,369713
20,9000,374077
20,8750,360944
20,8500,338495
20,8250,356986
20,8000,327438
20,7750,303604
20,7500,303261
20,7250,290426
20,7000,272886
20,6750,264188
20,6500,271634
20,6250,254493
20,6000,238862
20,5750,234892
20,5500,223230
20,5250,224947
20,5000,198441
20,4750,221531
20,4500,191681
20,4250,171937
20,4000,163273
20,3750,145249
20,3500,143109
20,3250,135677
20,3000,116976
20,2750,121010
20,2500,94254
20,2250,105768
20,2000,78449
20,1750,85869
20,1500,57577
20,1250,47357
20,1000,37583
20,750,33215
20,500,24778
20,250,10202
30,10000,1334400
30,9750,1290147
30,9500,1247965
30,9250,1224459
30,9000,1169637
30,8750,1167374
30,8500,1129468
30,8250,1089614
30,8000,1062428
30,7750,1038596
30,7500,992482
30,7250,959923
30,7000,927951
30,6750,882536
30,6500,844612
30,6250,818846
30,6000,827647
30,5750,748091
30,5500,738200
30,5250,682909
30,5000,687801
30,4750,617925
30,4500,589355
30,4250,566182
30,4000,516526
30,3750,511647
30,3500,465500
30,3250,431154
30,3000,396339
30,2750,362565
30,2500,316400
30,2250,298107
30,2000,260182
30,1750,231299
30,1500,197583
30,1250,163939
30,1000,123189
30,750,101971
30,500,61494
30,250,30007
40,10000,3233446
40,9750,3172408
40,9500,3087378
40,9250,3015843
40,9000,2955064
40,8750,2850307
40,8500,2762147
40,8250,2711152
40,8000,2599683
40,7750,2507387
40,7500,2432536
40,7250,2371997
40,7000,2257026
40,6750,2205761
40,6500,2129546
40,6250,2035796
40,6000,1981785
40,5750,1858763
40,5500,1782309
40,5250,1706668
40,5000,1648300
40,4750,1545951
40,4500,1471869
40,4250,1374845
40,4000,1308607
40,3750,1229581
40,3500,1149041
40,3250,1089209
40,3000,971525
40,2750,883076
40,2500,825912
40,2250,720300
40,2000,657034
40,1750,562526
40,1500,483293
40,1250,417843
40,1000,338860
40,750,236101
40,500,166711
40,250,75291
50,10000,6291667
50,9750,6114465
50,9500,5971772
50,9250,5807614
50,9000,5658149
50,8750,5487454
50,8500,5345359
50,8250,5209750
50,8000,5098811
50,7750,4853554
50,7500,4731579
50,7250,4531045
50,7000,4439786
50,6750,4239317
50,6500,4076717
50,6250,3926333
50,6000,3773368
50,5750,3748894
50,5500,3542346
50,5250,3307695
50,5000,3126083
50,4750,2971255
50,4500,2880024
50,4250,3048903
50,4000,2574443
50,3750,2342609
50,3500,2177454
50,3250,2033437
50,3000,1877155
50,2750,1883001
50,2500,1627268
50,2250,1641048
50,2000,1490384
50,1750,1303905
50,1500,971210
50,1250,777788
50,1000,622857
50,750,466627
50,500,312293
50,250,160525
60,10000,10816471
60,9750,10517421
60,9500,10238468
60,9250,9925605
60,9000,9666495
60,8750,9319724
60,8500,9169047
60,8250,8900781
60,8000,8591986
60,7750,8422467
60,7500,8076740
60,7250,7855337
60,7000,7526829
60,6750,7248806
60,6500,7009280
60,6250,6708637
60,6000,6445187
60,5750,6214290
60,5500,5953473
60,5250,6013181
60,5000,5485845
60,4750,5195088
60,4500,5212631
60,4250,5043542
60,4000,5112920
60,3750,4109692
60,3500,4038983
60,3250,3802842
60,3000,3445286
60,2750,3030466
60,2500,2806388
60,2250,2501770
60,2000,2177497
60,1750,2226133
60,1500,1675490
60,1250,1360084
60,1000,1075746
60,750,811629
60,500,573259
60,250,275031
70,10000,18693440
